Transformation (shape),shape,nb_trans,SVM accuracy,SVM std,DecisionTree accuracy,DecisionTree std,RandomForest accuracy,RandomForest std
crosscor,10,1,0.7138966997188102,0.028894594410231345,0.6563600710374426,0.009675561288714092,0.7654321444428,0.02253288870661484
autoreg_k=1,1,1,0.7353596270534262,0.026528214244556137,0.6829399141630901,0.030758641910885846,0.6829399141630901,0.030758641910885846
autoreg_k=2,2,1,0.6863918898919639,0.022421515199372955,0.8814229687731242,0.01367374066568664,0.9046322332396034,0.007478403772053556
autoreg_k=3,3,1,0.8668158946277934,0.01435481377810544,0.9510137635045138,0.011806599041346195,0.9690691135119136,0.005025721261701987
autoreg_k=5,5,1,0.9905505401805534,0.003209778925975066,0.9965665236051503,0.003211723078775897,0.9965628237383454,0.003212720279368934
multifracs_j1=1_j2=12,3,1,0.8951827734201568,0.00804504537449936,0.8805830990084358,0.003245911514282714,0.9244265206452568,0.01846454624615619
shannon_encoding,8,1,0.8333321000443984,0.020028700547045666,1.0,0.0,1.0,0.0
autoencoder_fourier_transform=True,16,1,0.6804314044694391,0.020677494704465553,0.685559419860885,0.02872956365569609,0.7327919194908983,0.043384405924708526
low_psd,1092,1,0.8101302353115288,0.013234654735761254,0.8513652508509694,0.022382364341908278,0.9450273790143555,0.019998351993795575
low_fourier,1092,1,0.9278266982388633,0.022314766283370976,0.8513504513837502,0.01914442656524534,0.9407355335207933,0.017218154546491646
crosscor_autoreg_k=1,11,2,0.6949940802131124,0.02561271003240219,0.8178777564007695,0.02460962282036345,0.8779931922450791,0.014643726939987028
crosscor_autoreg_k=2,12,2,0.7078733165606038,0.025414628273557886,0.8762579547136303,0.020621937091845163,0.9020497262098566,0.012663095611455635
crosscor_autoreg_k=3,13,2,0.8642407873316561,0.012867345261866905,0.9596122539588574,0.009298777425291062,0.9828252182921415,0.00717279657069375
crosscor_autoreg_k=5,15,2,0.9905505401805534,0.003209778925975066,0.9965665236051503,0.003211723078775897,0.9957044546396331,0.0027144115112306727
crosscor_multifracs_j1=1_j2=12,13,2,0.8762875536480687,0.010311599808355314,0.8702974692911056,0.021332311611939405,0.9166678999556016,0.0020491918634116986
crosscor_shannon_encoding,18,2,0.8324737309456861,0.01957595435650951,1.0,0.0,1.0,0.0
crosscor_autoencoder_fourier_transform=True,26,2,0.6804314044694391,0.020677494704465553,0.7268092348675448,0.018046377117127452,0.8075662276158058,0.011856721801765903
crosscor_low_psd,1102,2,0.8101302353115288,0.013234654735761254,0.8522421192837057,0.01764915735886309,0.9458857481130678,0.020401155474780747
crosscor_low_fourier,1102,2,0.9278266982388633,0.022314766283370976,0.8539440580139115,0.017448339627524012,0.9458783483794584,0.011049326231668705
autoreg_k=1_autoreg_k=2,3,2,0.6881086280893889,0.02365930332458911,0.9020682255438803,0.006780760741453889,0.9244080213112327,0.009178357653135927
autoreg_k=1_autoreg_k=3,4,2,0.8633787183661388,0.014215340869362075,0.9690691135119136,0.011331792689055924,0.9759508657688322,0.005804335194854745
autoreg_k=1_autoreg_k=5,6,2,0.9905505401805534,0.003209778925975066,0.9965665236051503,0.003211723078775897,0.9965628237383454,0.003212720279368934
autoreg_k=1_multifracs_j1=1_j2=12,4,2,0.899474618913719,0.007627614393013184,0.9175188693207044,0.007944533342763418,0.9536073701346751,0.005012744711188469
autoreg_k=1_shannon_encoding,9,2,0.8333321000443984,0.020028700547045666,1.0,0.0,1.0,0.0
autoreg_k=1_autoencoder_fourier_transform=True,17,2,0.6804314044694391,0.020677494704465553,0.8341608702086726,0.023083289605140632,0.8616508805682995,0.02617218829873721
autoreg_k=1_low_psd,1093,2,0.8101302353115288,0.013234654735761254,0.8900325588278823,0.01347662758264356,0.9536184697350896,0.01701735386247675
autoreg_k=1_low_fourier,1093,2,0.9278266982388633,0.022314766283370976,0.8917418972916975,0.01505055610670963,0.9510322628385378,0.014763432895944706
