Transformation (shape),shape,nb_trans,SVM accuracy,SVM std,DecisionTree accuracy,DecisionTree std,RandomForest accuracy,RandomForest std
crosscor,10,1,0.7156208376498446,0.029683064542378883,0.6623649548616249,0.011557843828179638,0.7525603078289181,0.015781957827320395
mean,1,1,0.9475987864436879,0.010632696252077913,0.9647846677519609,0.00829709134254884,0.9647846677519609,0.00829709134254884
std,1,1,0.7164755068817523,0.02214652746548497,0.6125721474026935,0.024811424861791186,0.6125721474026935,0.024811424861791186
autoreg_k=5,5,1,0.9905505401805534,0.003209778925975066,0.9965665236051503,0.003211723078775897,0.9965628237383454,0.003212720279368934
multifracs_j1=1_j2=12,3,1,0.8951827734201568,0.00804504537449936,0.8814525677075625,0.01193240256842001,0.9141075921266836,0.013484428390484292
shannon_encoding,8,1,0.8333321000443984,0.020028700547045666,1.0,0.0,1.0,0.0
autoencoder_fourier_transform=True,16,1,0.6735089536776675,0.030703826581398974,0.6889669971881013,0.04360338221904611,0.7482610626017463,0.03498526438181678
low_psd,1092,1,0.8101302353115288,0.013234654735761254,0.8479206748557052,0.021270412948037182,0.9467367174781709,0.015010512381437587
low_fourier,1092,1,0.9278266982388633,0.022314766283370976,0.8522162202160721,0.016817152698256586,0.9458857481130678,0.014740143049088217
crosscor_mean,11,2,0.9063600710374426,0.0062671899537880636,0.9579029154950423,0.011958583089127969,0.972509989640373,0.006968097762033138
crosscor_std,11,2,0.7207673523753145,0.02203078659809481,0.7147365694834986,0.03456597745648323,0.7963704306644961,0.014842635354920555
crosscor_autoreg_k=5,15,2,0.9905505401805534,0.003209778925975066,0.9965665236051503,0.003211723078775897,0.9957044546396331,0.0027144115112306727
crosscor_multifracs_j1=1_j2=12,13,2,0.8762875536480687,0.010311599808355314,0.8677223619949682,0.022168673203372513,0.9149548616249815,0.009109537926119234
crosscor_shannon_encoding,18,2,0.8324737309456861,0.01957595435650951,1.0,0.0,1.0,0.0
crosscor_autoencoder_fourier_transform=True,26,2,0.6735089536776675,0.030703826581398974,0.7087316856593163,0.022239734096957082,0.8084319964481279,0.02442603644098484
crosscor_low_psd,1102,2,0.8101302353115288,0.013234654735761254,0.8642444871984608,0.024017834619986987,0.9484645552760101,0.00895514832032412
crosscor_low_fourier,1102,2,0.9278266982388633,0.022314766283370976,0.8522421192837057,0.01846522829165371,0.9433180405505401,0.020533000773313832
mean_std,2,2,0.9484571555424006,0.012125047783866041,0.9751035962705343,0.013402470154428817,0.9750924966701199,0.004982301689787547
mean_autoreg_k=5,6,2,0.991408909279266,0.004701504473353463,1.0,0.0,0.9965628237383454,0.003212720279368934
mean_multifracs_j1=1_j2=12,4,2,0.9467404173449756,0.007450782181011994,0.9914126091460709,0.004698108292860464,0.9957044546396331,7.399733609592118e-06
mean_shannon_encoding,9,2,0.8333321000443984,0.020028700547045666,1.0,0.0,1.0,0.0
mean_autoencoder_fourier_transform=True,17,2,0.6735089536776675,0.030703826581398974,0.9596270534260766,0.005791415585237271,0.9656430368506734,0.007652755701567414
mean_low_psd,1093,2,0.8101302353115288,0.013234654735761254,0.972509989640373,0.012901239783879618,0.9596270534260768,0.015486891139791913
mean_low_fourier,1093,2,0.9278266982388633,0.022314766283370976,0.9759397661684179,0.008855193532486762,0.9587649844605594,0.016416480371599946
std_autoreg_k=5,6,2,0.9905505401805534,0.003209778925975066,0.9965665236051503,0.003211723078775897,0.9957044546396331,0.0027144115112306727
std_multifracs_j1=1_j2=12,4,2,0.9003329880124316,0.008886842851507195,0.8900436584282966,0.006276182549551726,0.9166863992896257,0.01589156150000271
std_shannon_encoding,9,2,0.8333321000443984,0.020028700547045666,1.0,0.0,1.0,0.0
std_autoencoder_fourier_transform=True,17,2,0.6735089536776675,0.030703826581398974,0.7568854521237235,0.027387013898812627,0.7903692467071185,0.03233477082510207
std_low_psd,1093,2,0.8101302353115288,0.013234654735761254,0.8676927630605297,0.011698133991635067,0.9424485718514134,0.01727159487824267
std_low_fourier,1093,2,0.9278266982388633,0.022314766283370976,0.8805830990084356,0.008335450937322261,0.9561935770312269,0.014188977136844031
autoreg_k=5_multifracs_j1=1_j2=12,8,2,0.9905505401805534,0.003209778925975066,0.9965665236051503,0.003211723078775897,0.9957044546396331,0.0027144115112306727
autoreg_k=5_shannon_encoding,13,2,0.8333321000443984,0.020028700547045666,1.0,0.0,1.0,0.0
autoreg_k=5_autoencoder_fourier_transform=True,21,2,0.6735089536776675,0.030703826581398974,0.9965665236051503,0.003211723078775897,0.9982795619357704,0.0021071058164723196
autoreg_k=5_low_psd,1097,2,0.8101302353115288,0.013234654735761254,0.9922598786443688,0.005033037486607272,0.9896958709486459,0.0064199885807017425
autoreg_k=5_low_fourier,1097,2,0.9278266982388633,0.022314766283370976,0.9931293473434957,0.0034307083528100682,0.9922709782447832,0.00738225329134592
multifracs_j1=1_j2=12_shannon_encoding,11,2,0.8333321000443984,0.020028700547045666,1.0,0.0,0.9991416309012877,0.0017167381974248829
multifracs_j1=1_j2=12_autoencoder_fourier_transform=True,19,2,0.6735089536776675,0.030703826581398974,0.8960596418528933,0.00819444575485166,0.9226653840461744,0.02091726037952077
multifracs_j1=1_j2=12_low_psd,1095,2,0.8101302353115288,0.013234654735761254,0.9252626905431404,0.005082060330048165,0.9536184697350896,0.012819311831943282
multifracs_j1=1_j2=12_low_fourier,1095,2,0.9278266982388633,0.022314766283370976,0.9175225691875092,0.005057781525902584,0.9587649844605594,0.014510583276394276
shannon_encoding_autoencoder_fourier_transform=True,24,2,0.8573923338759805,0.023388328081565737,1.0,0.0,0.9991416309012877,0.0017167381974248829
shannon_encoding_low_psd,1100,2,0.8101302353115288,0.013234654735761254,1.0,0.0,0.9931330472103005,0.006423446157551829
shannon_encoding_low_fourier,1100,2,0.9639003995856148,0.011145259057978566,1.0,0.0,0.9888375018499336,0.010007682171393407
autoencoder_fourier_transform=True_low_psd,1108,2,0.8101302353115288,0.013234654735761254,0.8401879532336836,0.02416916120847992,0.9501812934734349,0.011674999906574064
autoencoder_fourier_transform=True_low_fourier,1108,2,0.9226764836465886,0.019776902153554477,0.8436251294953381,0.02325933559964702,0.9433069409501258,0.01469205694549149
low_psd_low_fourier,2184,2,0.8092681663460116,0.013878833125508765,0.8358924078733164,0.02462538068617763,0.9493229243747224,0.01744242786107624
crosscor_mean_std,12,3,0.9175188693207044,0.007944533342763418,0.9768129347343495,0.00794584277066486,0.9759471659020275,0.004366099931475981
crosscor_mean_autoreg_k=5,16,3,0.9905505401805534,0.003209778925975066,1.0,0.0,0.9957044546396331,0.0027144115112306727
crosscor_mean_multifracs_j1=1_j2=12,14,3,0.9244043214444281,0.00691589728410383,0.9871059641852893,0.006095804255068993,0.9896958709486459,0.0034270035003431403
crosscor_mean_shannon_encoding,19,3,0.8324737309456861,0.01957595435650951,1.0,0.0,1.0,0.0
crosscor_mean_autoencoder_fourier_transform=True,27,3,0.6726468847121503,0.03173387556440401,0.9604780227911796,0.01421766722601167,0.9716516205416605,0.005139294787857942
crosscor_mean_low_psd,1103,3,0.8101302353115288,0.013234654735761254,0.97680553500074,0.008833933885587644,0.9630642296877312,0.016853807475237403
crosscor_mean_low_fourier,1103,3,0.9278266982388633,0.022314766283370976,0.9742267278377978,0.009787014226476003,0.9596270534260766,0.013721077636324954
crosscor_std_autoreg_k=5,16,3,0.9896884712150362,0.0034418626181954045,0.9957081545064378,0.0038387433090124926,0.9957044546396331,0.0027144115112306727
crosscor_std_multifracs_j1=1_j2=12,14,3,0.8797210300429186,0.006148733382787299,0.8703085688915199,0.025545750649514268,0.9132455231611661,0.013328857332953652
crosscor_std_shannon_encoding,19,3,0.8324737309456861,0.01957595435650951,1.0,0.0,1.0,0.0
crosscor_std_autoencoder_fourier_transform=True,27,3,0.6726468847121503,0.03173387556440401,0.7585799911203196,0.017620195266380572,0.828159686251295,0.015824023656937084
crosscor_std_low_psd,1103,3,0.8101302353115288,0.013234654735761254,0.8745597158502294,0.017548099668715476,0.9510396625721473,0.012292222676758507
crosscor_std_low_fourier,1103,3,0.9278266982388633,0.022314766283370976,0.8762764540476542,0.011784688529629607,0.941586502885896,0.01790647468409918
crosscor_autoreg_k=5_multifracs_j1=1_j2=12,18,3,0.9896884712150362,0.0034418626181954045,0.9948497854077253,0.003211723078775897,0.9957044546396331,0.0027144115112306727
crosscor_autoreg_k=5_shannon_encoding,23,3,0.8324737309456861,0.01957595435650951,1.0,0.0,1.0,0.0
crosscor_autoreg_k=5_autoencoder_fourier_transform=True,31,3,0.6726468847121503,0.03173387556440401,0.9965665236051503,0.003211723078775897,0.9982832618025752,0.003433476394849766
crosscor_autoreg_k=5_low_psd,1107,3,0.8101302353115288,0.013234654735761254,0.991408909279266,0.0027144417695861988,0.993125647476691,0.00582394293220924
crosscor_autoreg_k=5_low_fourier,1107,3,0.9278266982388633,0.022314766283370976,0.9922672783779785,0.003213734208722041,0.9914126091460707,0.009000890083841563
crosscor_multifracs_j1=1_j2=12_shannon_encoding,21,3,0.8324737309456861,0.01957595435650951,1.0,0.0,1.0,0.0
crosscor_multifracs_j1=1_j2=12_autoencoder_fourier_transform=True,29,3,0.6726468847121503,0.03173387556440401,0.8763023531152878,0.015111968164012956,0.920090276750037,0.018594345329026173
crosscor_multifracs_j1=1_j2=12_low_psd,1105,3,0.8101302353115288,0.013234654735761254,0.9261210596418529,0.006260297086736049,0.9587760840609739,0.012292122449456332
crosscor_multifracs_j1=1_j2=12_low_fourier,1105,3,0.9278266982388633,0.022314766283370976,0.9287109664052094,0.02073687911850515,0.9570371466627201,0.009443822867224403
crosscor_shannon_encoding_autoencoder_fourier_transform=True,34,3,0.8573923338759805,0.023388328081565737,1.0,0.0,1.0,0.0
crosscor_shannon_encoding_low_psd,1110,3,0.8101302353115288,0.013234654735761254,1.0,0.0,0.9931330472103005,0.007960187549781715
crosscor_shannon_encoding_low_fourier,1110,3,0.9639003995856148,0.011145259057978566,0.9965517241379309,0.006896551724137945,0.9922709782447832,0.00569154973349572
crosscor_autoencoder_fourier_transform=True_low_psd,1118,3,0.8101302353115288,0.013234654735761254,0.856519165310049,0.021375472547485952,0.9476024863104928,0.017655280580973307
crosscor_autoencoder_fourier_transform=True_low_fourier,1118,3,0.9226764836465886,0.019776902153554477,0.852238419416901,0.015452778849371721,0.9424559715850229,0.021447191870663254
crosscor_low_psd_low_fourier,2194,3,0.8092681663460116,0.013878833125508765,0.8539625573479356,0.022969398898527265,0.9415865028858962,0.013978063491633346
mean_std_autoreg_k=5,7,3,0.991408909279266,0.004701504473353463,0.9982832618025752,0.003433476394849766,0.9965628237383454,0.003212720279368934
mean_std_multifracs_j1=1_j2=12,5,3,0.9493155246411129,0.006286033414263048,0.9896958709486459,0.0064199885807017425,0.9957044546396331,7.399733609592118e-06
mean_std_shannon_encoding,10,3,0.8333321000443984,0.020028700547045666,1.0,0.0,1.0,0.0
mean_std_autoencoder_fourier_transform=True,18,3,0.6735089536776675,0.030703826581398974,0.9733794583394998,0.007847713162753081,0.9725136895071778,0.010361056689024572
mean_std_low_psd,1094,3,0.8101302353115288,0.013234654735761254,0.9733646588722807,0.012564043846675296,0.9596270534260768,0.013173155328529612
mean_std_low_fourier,1094,3,0.9278266982388633,0.022314766283370976,0.9750776972029007,0.008785749553880232,0.9622058605890189,0.011626403895854983
mean_autoreg_k=5_multifracs_j1=1_j2=12,9,3,0.9905505401805534,0.003209778925975066,0.9982832618025752,0.003433476394849766,0.9982832618025752,0.002102566302818167
mean_autoreg_k=5_shannon_encoding,14,3,0.8333321000443984,0.020028700547045666,1.0,0.0,1.0,0.0
mean_autoreg_k=5_autoencoder_fourier_transform=True,22,3,0.6735089536776675,0.030703826581398974,1.0,0.0,0.9991379310344828,0.0017241379310344751
mean_autoreg_k=5_low_psd,1098,3,0.8101302353115288,0.013234654735761254,0.9948423856741158,0.0032196580222634084,0.9948497854077253,0.005005108922613998
mean_autoreg_k=5_low_fourier,1098,3,0.9278266982388633,0.022314766283370976,0.993121947609886,0.0043921081283143605,0.9905468403137487,0.006313776901052674
mean_multifracs_j1=1_j2=12_shannon_encoding,12,3,0.8333321000443984,0.020028700547045666,1.0,0.0,1.0,0.0
mean_multifracs_j1=1_j2=12_autoencoder_fourier_transform=True,20,3,0.6735089536776675,0.030703826581398974,0.9888375018499336,0.006419493879868692,0.991408909279266,0.0038387718370226868
mean_multifracs_j1=1_j2=12_low_psd,1096,3,0.8101302353115288,0.013234654735761254,0.979388042030487,0.006854490312810446,0.9707932514429481,0.010645015116765666
mean_multifracs_j1=1_j2=12_low_fourier,1096,3,0.9278266982388633,0.022314766283370976,0.9802427112623946,0.007955453569256097,0.9673560751812935,0.010003687250193544
mean_shannon_encoding_autoencoder_fourier_transform=True,25,3,0.8573923338759805,0.023388328081565737,1.0,0.0,1.0,0.0
mean_shannon_encoding_low_psd,1101,3,0.8101302353115288,0.013234654735761254,1.0,0.0,0.993991416309013,0.008410265211272708
mean_shannon_encoding_low_fourier,1101,3,0.9639003995856148,0.011145259057978566,0.9965517241379309,0.006896551724137945,0.9931330472103005,0.008410265211272722
mean_autoencoder_fourier_transform=True_low_psd,1109,3,0.8101302353115288,0.013234654735761254,0.97680553500074,0.007956282907391239,0.9570482462631345,0.01049943975001557
mean_autoencoder_fourier_transform=True_low_fourier,1109,3,0.9226764836465886,0.019776902153554477,0.9785185733313602,0.009013337248590625,0.9510359627053425,0.014244892736530063
mean_low_psd_low_fourier,2185,3,0.8092681663460116,0.013878833125508765,0.9776602042326477,0.006319927025041385,0.9570445463963297,0.009787193257360549
std_autoreg_k=5_multifracs_j1=1_j2=12,9,3,0.9896884712150362,0.0034418626181954045,0.9948497854077253,0.005005108922613998,0.9965628237383454,0.003212720279368934
std_autoreg_k=5_shannon_encoding,14,3,0.8333321000443984,0.020028700547045666,1.0,0.0,1.0,0.0
std_autoreg_k=5_autoencoder_fourier_transform=True,22,3,0.6735089536776675,0.030703826581398974,0.9965665236051503,0.003211723078775897,0.9982795619357704,0.0021071058164723196
std_autoreg_k=5_low_psd,1098,3,0.8101302353115288,0.013234654735761254,0.9931293473434957,0.0034307083528100682,0.9914126091460709,0.009000890083841572
std_autoreg_k=5_low_fourier,1098,3,0.9278266982388633,0.022314766283370976,0.9931293473434957,0.002098043065763049,0.9905468403137487,0.0057005090702517145
std_multifracs_j1=1_j2=12_shannon_encoding,12,3,0.8333321000443984,0.020028700547045666,1.0,0.0,0.9991416309012877,0.0017167381974248829
std_multifracs_j1=1_j2=12_autoencoder_fourier_transform=True,20,3,0.6735089536776675,0.030703826581398974,0.8986347491490306,0.010640984169430864,0.9269720290069557,0.017397596763601118
std_multifracs_j1=1_j2=12_low_psd,1096,3,0.8101302353115288,0.013234654735761254,0.9218292141482907,0.011273814108614326,0.958772384194169,0.014996156709270372
std_multifracs_j1=1_j2=12_low_fourier,1096,3,0.9278266982388633,0.022314766283370976,0.922691283113808,0.01934812437733499,0.9596307532928815,0.012883531239443797
std_shannon_encoding_autoencoder_fourier_transform=True,25,3,0.8573923338759805,0.023388328081565737,1.0,0.0,1.0,0.0
