Transformation (shape),shape,nb_trans,SVM accuracy,SVM std,DecisionTree accuracy,DecisionTree std,RandomForest accuracy,RandomForest std
crosscor,10,1,0.4886128364389234,0.04210591741245936,0.5724223602484472,0.04353351512181438,0.6677018633540373,0.04332022941211433
std,1,1,0.673664596273292,0.07447483260991186,0.5725465838509317,0.07088146459516638,0.5725465838509317,0.07088146459516638
autoreg_k=5,5,1,0.8989233954451347,0.030052071853796405,0.9104761904761904,0.01878366029459458,0.9450931677018632,0.005723280345563915
multifracs_j1=1_j2=10,3,1,0.7514285714285714,0.03720113788543451,0.7745755693581781,0.04895846040708451,0.7919254658385093,0.03489088932992282
shannon_encoding,8,1,0.8641821946169772,0.026758582892593807,0.9306004140786749,0.014338367276408557,0.927784679089027,0.02032548525766457
autoencoder_fourier_transform=True,16,1,0.4653416149068323,0.019605477435843212,0.4824844720496895,0.0636499133028771,0.49697722567287783,0.05246584337054561
crosscor_std,11,2,0.6417391304347827,0.031994538496340014,0.6300621118012422,0.04150762311068807,0.6907660455486543,0.028178533013451676
crosscor_autoreg_k=5,15,2,0.8931677018633539,0.03577888956890757,0.907494824016563,0.02361425009133803,0.9278674948240164,0.02697734484337683
crosscor_multifracs_j1=1_j2=10,13,2,0.7427329192546583,0.023579808219815836,0.7166873706004141,0.027555870267931964,0.7977225672877847,0.03279858608416208
crosscor_shannon_encoding,18,2,0.867080745341615,0.01899353199367242,0.8845134575569358,0.034949417620701466,0.9104761904761904,0.020900762117580917
crosscor_autoencoder_fourier_transform=True,26,2,0.474120082815735,0.03131705242432969,0.5809937888198758,0.02926349981197996,0.659047619047619,0.020005785976842147
std_autoreg_k=5,6,2,0.9104761904761904,0.02780118179552105,0.9075776397515527,0.019275618058538335,0.9393788819875775,0.01889324425639435
std_multifracs_j1=1_j2=10,4,2,0.7514285714285714,0.03720113788543451,0.7659213250517599,0.03804650767504825,0.7745755693581782,0.04350672439099735
std_shannon_encoding,9,2,0.8642236024844723,0.019135811672111026,0.9249275362318841,0.02094992579662914,0.9307246376811594,0.024567675478744444
std_autoencoder_fourier_transform=True,17,2,0.6966459627329191,0.051049435479833156,0.6965217391304348,0.0476597899340686,0.6821532091097308,0.035924851110643544
autoreg_k=5_multifracs_j1=1_j2=10,8,2,0.9335817805383023,0.02146286051474355,0.9161490683229815,0.019355686778501423,0.9508902691511386,0.00690208415271709
autoreg_k=5_shannon_encoding,13,2,0.9480331262939957,0.014498667826096556,0.9278674948240164,0.025372449069127986,0.9595445134575569,0.016881820503126435
autoreg_k=5_autoencoder_fourier_transform=True,21,2,0.8931677018633539,0.03072564216826359,0.9190890269151138,0.019591829590478053,0.9364803312629398,0.02666949562556956
multifracs_j1=1_j2=10_shannon_encoding,11,2,0.864223602484472,0.03350108887256186,0.9019047619047619,0.03520263011576629,0.9394202898550723,0.024464867067836737
multifracs_j1=1_j2=10_autoencoder_fourier_transform=True,19,2,0.7687784679089027,0.037815699566804736,0.7802898550724638,0.017526048067050413,0.7947826086956521,0.021410069927674663
shannon_encoding_autoencoder_fourier_transform=True,24,2,0.8612836438923397,0.021595701549325556,0.9134575569358179,0.029611692221583656,0.9076604554865424,0.04499189177671448
crosscor_std_autoreg_k=5,16,3,0.9307246376811594,0.022793742900101433,0.913167701863354,0.035652534606928785,0.9335817805383023,0.014443216136872319
crosscor_std_multifracs_j1=1_j2=10,14,3,0.7427329192546583,0.023579808219815836,0.7225672877846792,0.030680966547151488,0.8151138716356108,0.028908504638852268
