Transformation (shape),shape,nb_trans,SVM accuracy,SVM std,DecisionTree accuracy,DecisionTree std,RandomForest accuracy,RandomForest std
crosscor (10),10,1,0.7329670329670329,0.06902988472325014,0.632967032967033,0.09861986877443768,0.6307692307692307,0.05661207416435719
autoreg_k=1 (1),1,1,0.8362637362637363,0.077735117291549,0.8076923076923077,0.09008308365678767,0.8076923076923077,0.09008308365678767
autoreg_k=2 (2),2,1,0.8054945054945055,0.09602660340638891,0.7351648351648352,0.12444296850015005,0.7626373626373626,0.06306964770233732
autoreg_k=3 (3),3,1,0.7912087912087913,0.08075240910274212,0.7021978021978021,0.1144335476654489,0.8065934065934066,0.0665175646172376
autoreg_k=5 (5),5,1,0.7912087912087913,0.0925298216923995,0.7197802197802199,0.07256076491964472,0.8384615384615385,0.05555703147149247
multifracs_j1=1_j2=12 (3),3,1,0.7329670329670329,0.06902988472325014,0.5868131868131868,0.12980994532610726,0.689010989010989,0.08161514122033908
shannon_encoding (8),8,1,0.7329670329670329,0.06902988472325014,0.6934065934065934,0.07663998142489098,0.7626373626373626,0.06306964770233732
autoencoder_fourier_transform=True (16),16,1,0.7329670329670329,0.06902988472325014,0.5428571428571428,0.09989730265814077,0.5439560439560439,0.09414703292573141
crosscor_autoreg_k=1 (11),11,2,0.776923076923077,0.07384746205016018,0.6802197802197802,0.12976342346483968,0.8384615384615385,0.07160586618745017
crosscor_autoreg_k=2 (12),12,2,0.7912087912087913,0.0925298216923995,0.6483516483516484,0.04436621810590407,0.7043956043956043,0.10554028310807004
crosscor_autoreg_k=3 (13),13,2,0.7758241758241758,0.11203403143677303,0.676923076923077,0.05661207416435718,0.7780219780219779,0.06929179239751403
crosscor_autoreg_k=5 (15),15,2,0.7758241758241758,0.11203403143677303,0.6472527472527474,0.051589866348595616,0.7780219780219779,0.05254080478189854
crosscor_multifracs_j1=1_j2=12 (13),13,2,0.7329670329670329,0.06902988472325014,0.6758241758241759,0.0399250596144724,0.7472527472527473,0.08419332443682614
crosscor_shannon_encoding (18),18,2,0.7329670329670329,0.06902988472325014,0.6912087912087912,0.06901238887080256,0.7351648351648352,0.0576687550039645
