Transformation (shape),shape,nb_trans,SVM accuracy,SVM std,DecisionTree accuracy,DecisionTree std,RandomForest accuracy,RandomForest std
crosscor,10,1,0.7329670329670329,0.06902988472325014,0.5879120879120878,0.03677626490259676,0.6307692307692307,0.05661207416435719
mean,1,1,0.7329670329670329,0.06902988472325014,0.6307692307692307,0.10662172502503009,0.6307692307692307,0.10662172502503009
std,1,1,0.7329670329670329,0.06902988472325014,0.5736263736263736,0.05137876803323501,0.5736263736263736,0.05137876803323501
autoreg_k=5,5,1,0.7472527472527472,0.08419332443682614,0.7186813186813186,0.07819976648200963,0.8230769230769232,0.0378124187562313
multifracs_j1=1_j2=12,3,1,0.7329670329670329,0.06902988472325014,0.6021978021978022,0.11807946703880032,0.6879120879120879,0.09738768809276714
shannon_encoding,8,1,0.7153846153846153,0.14679278663293663,0.7076923076923076,0.05661207416435717,0.7483516483516484,0.06430214873990237
autoencoder_fourier_transform=True,16,1,0.7329670329670329,0.06902988472325014,0.5439560439560439,0.09414703292573141,0.5725274725274725,0.07440136650466268
crosscor_mean,11,2,0.7329670329670329,0.06902988472325014,0.6747252747252748,0.09203255699433009,0.6307692307692307,0.08536134719093826
crosscor_std,11,2,0.7329670329670329,0.06902988472325014,0.6923076923076923,0.12042873136525256,0.6604395604395604,0.06633577262763328
crosscor_autoreg_k=5,15,2,0.7186813186813186,0.07819976648200963,0.676923076923077,0.05661207416435718,0.7472527472527473,0.0955475389858644
crosscor_multifracs_j1=1_j2=12,13,2,0.7329670329670329,0.06902988472325014,0.6043956043956044,0.04713760569126862,0.7186813186813187,0.09031068488485428
crosscor_shannon_encoding,18,2,0.7450549450549451,0.14655402538723813,0.6758241758241759,0.0753368637406708,0.7637362637362637,0.05794033550094094
crosscor_autoencoder_fourier_transform=True,26,2,0.7186813186813187,0.06383092629212134,0.6758241758241758,0.0753368637406708,0.7043956043956044,0.07082585953548137
mean_std,2,2,0.7329670329670329,0.06902988472325014,0.6912087912087912,0.05217176910096358,0.6758241758241759,0.0399250596144724
mean_autoreg_k=5,6,2,0.7615384615384616,0.09488805777988087,0.7208791208791208,0.05193979032130317,0.8076923076923077,0.0635084979199995
mean_multifracs_j1=1_j2=12,4,2,0.7329670329670329,0.06902988472325014,0.6010989010989011,0.06823813053301112,0.7032967032967032,0.09055105087671501
mean_shannon_encoding,9,2,0.7450549450549451,0.14655402538723813,0.6758241758241759,0.0399250596144724,0.776923076923077,0.07384746205016018
mean_autoencoder_fourier_transform=True,17,2,0.7329670329670329,0.06902988472325014,0.5725274725274725,0.08889559743365576,0.6461538461538462,0.08809047834651025
std_autoreg_k=5,6,2,0.7626373626373626,0.06306964770233732,0.6923076923076923,0.04752032595701022,0.7615384615384615,0.09488805777988087
std_multifracs_j1=1_j2=12,4,2,0.7329670329670329,0.06902988472325014,0.5879120879120878,0.09754875174141604,0.6450549450549451,0.08004647846801896
std_shannon_encoding,9,2,0.7153846153846153,0.14679278663293663,0.721978021978022,0.06488171173241981,0.7637362637362637,0.05794033550094094
std_autoencoder_fourier_transform=True,17,2,0.7329670329670329,0.06902988472325014,0.6329670329670329,0.12024810321887909,0.6593406593406593,0.08462252003594926
autoreg_k=5_multifracs_j1=1_j2=12,8,2,0.776923076923077,0.07384746205016018,0.7472527472527473,0.10568892341577663,0.7912087912087912,0.09427521138253718
autoreg_k=5_shannon_encoding,13,2,0.7307692307692307,0.13057978705505888,0.7175824175824175,0.0965908437070142,0.7923076923076924,0.06161690447857662
autoreg_k=5_autoencoder_fourier_transform=True,21,2,0.7472527472527472,0.08419332443682614,0.7032967032967032,0.08873243621180811,0.7483516483516484,0.08063268715535885
multifracs_j1=1_j2=12_shannon_encoding,11,2,0.7318681318681318,0.10847439718024669,0.6736263736263737,0.1277564099282076,0.821978021978022,0.07913614016434653
multifracs_j1=1_j2=12_autoencoder_fourier_transform=True,19,2,0.7186813186813187,0.09031068488485428,0.5571428571428572,0.12785089733845265,0.6307692307692307,0.07242750353091905
shannon_encoding_autoencoder_fourier_transform=True,24,2,0.8065934065934066,0.08040772804363393,0.7208791208791208,0.09391587085372086,0.7483516483516484,0.08063268715535885
crosscor_mean_std,12,3,0.7329670329670329,0.06902988472325014,0.631868131868132,0.06774081321943931,0.689010989010989,0.07959261082299698
crosscor_mean_autoreg_k=5,16,3,0.7186813186813186,0.07819976648200963,0.6901098901098901,0.0981411585132576,0.7626373626373626,0.06306964770233732
crosscor_mean_multifracs_j1=1_j2=12,14,3,0.7329670329670329,0.06902988472325014,0.6164835164835166,0.09170393865945083,0.7175824175824176,0.09488805777988087
crosscor_mean_shannon_encoding,19,3,0.7593406593406593,0.1778183613729124,0.6615384615384616,0.05789863680140437,0.7340659340659341,0.0769701582762086
crosscor_mean_autoencoder_fourier_transform=True,27,3,0.7186813186813187,0.06383092629212134,0.632967032967033,0.11750536655893012,0.6758241758241759,0.07954708163012686
crosscor_std_autoreg_k=5,16,3,0.732967032967033,0.08249812913900419,0.6615384615384616,0.07343751405100493,0.7626373626373626,0.0915721611252732
crosscor_std_multifracs_j1=1_j2=12,14,3,0.7329670329670329,0.06902988472325014,0.6472527472527473,0.051589866348595616,0.7615384615384615,0.09488805777988087
crosscor_std_shannon_encoding,19,3,0.7450549450549451,0.14655402538723813,0.6461538461538462,0.06064898780899617,0.7065934065934065,0.06084777230728407
crosscor_std_autoencoder_fourier_transform=True,27,3,0.7186813186813187,0.07819976648200963,0.7208791208791208,0.08233695690078767,0.7054945054945054,0.04644076177827568
crosscor_autoreg_k=5_multifracs_j1=1_j2=12,18,3,0.7340659340659341,0.0623184478187157,0.6175824175824176,0.02614368627114359,0.776923076923077,0.07384746205016018
crosscor_autoreg_k=5_shannon_encoding,23,3,0.7307692307692307,0.1453709511573951,0.7043956043956043,0.05454801602633342,0.7626373626373626,0.07757961580097929
crosscor_autoreg_k=5_autoencoder_fourier_transform=True,31,3,0.6901098901098901,0.0981411585132576,0.6912087912087912,0.06901238887080256,0.7318681318681319,0.11750536655893011
crosscor_multifracs_j1=1_j2=12_shannon_encoding,21,3,0.7164835164835165,0.14973308780905026,0.6901098901098901,0.0907907805087246,0.7923076923076924,0.08875965057718097
crosscor_multifracs_j1=1_j2=12_autoencoder_fourier_transform=True,29,3,0.7329670329670329,0.0824981291390042,0.676923076923077,0.07242750353091905,0.689010989010989,0.06552989677307944
