Transformation (shape),shape,nb_trans,SVM accuracy,SVM std,DecisionTree accuracy,DecisionTree std,RandomForest accuracy,RandomForest std
crosscor,10,1,0.51,0.05147815070493499,0.53,0.08860022573334675,0.58,0.03674234614174767
mean,1,1,0.5,0.10368220676663861,0.5399999999999999,0.07516648189186452,0.5399999999999999,0.07516648189186452
std,1,1,0.48999999999999994,0.0845576726264388,0.475,0.05477225575051662,0.475,0.05477225575051662
autoreg_k=5,5,1,0.9949999999999999,0.010000000000000009,0.985,0.020000000000000018,0.9949999999999999,0.010000000000000009
multifracs_j1=1_j2=12,3,1,0.99,0.012247448713915901,0.97,0.018708286933869726,0.9800000000000001,0.018708286933869722
shannon_encoding,8,1,0.5349999999999999,0.06999999999999999,0.9850000000000001,0.012247448713915901,0.9949999999999999,0.010000000000000009
autoencoder_fourier_transform=True,16,1,0.6599999999999999,0.0768114574786861,0.7,0.03872983346207416,0.71,0.033911649915626334
crosscor_mean,11,2,0.51,0.05147815070493499,0.5449999999999999,0.10653637876331257,0.5700000000000001,0.03999999999999999
crosscor_std,11,2,0.51,0.05147815070493499,0.525,0.09219544457292887,0.5399999999999999,0.043588989435406726
crosscor_autoreg_k=5,15,2,0.515,0.04636809247747852,0.9949999999999999,0.010000000000000009,0.9949999999999999,0.010000000000000009
crosscor_multifracs_j1=1_j2=12,13,2,0.5199999999999999,0.04301162633521313,0.9549999999999998,0.029154759474226483,0.975,0.01581138830084191
crosscor_shannon_encoding,18,2,0.5349999999999999,0.06999999999999999,0.9800000000000001,0.010000000000000009,0.9949999999999999,0.010000000000000009
crosscor_autoencoder_fourier_transform=True,26,2,0.605,0.05787918451395114,0.675,0.07745966692414832,0.7100000000000001,0.05830951894845301
mean_std,2,2,0.51,0.07516648189186452,0.45,0.061237243569579464,0.5050000000000001,0.024494897427831803
mean_autoreg_k=5,6,2,0.9949999999999999,0.010000000000000009,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
mean_multifracs_j1=1_j2=12,4,2,0.99,0.012247448713915901,0.975,0.01581138830084191,0.975,0.01581138830084191
mean_shannon_encoding,9,2,0.5349999999999999,0.06999999999999999,0.9949999999999999,0.010000000000000009,0.9949999999999999,0.010000000000000009
mean_autoencoder_fourier_transform=True,17,2,0.6649999999999999,0.07348469228349536,0.665,0.09300537618869138,0.725,0.04183300132670378
std_autoreg_k=5,6,2,0.9949999999999999,0.010000000000000009,0.985,0.020000000000000018,0.9949999999999999,0.010000000000000009
std_multifracs_j1=1_j2=12,4,2,0.985,0.012247448713915901,0.97,0.018708286933869726,0.975,0.01581138830084191
std_shannon_encoding,9,2,0.5349999999999999,0.06999999999999999,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
std_autoencoder_fourier_transform=True,17,2,0.665,0.08154753215150047,0.6699999999999999,0.050990195135927854,0.75,0.05244044240850758
autoreg_k=5_multifracs_j1=1_j2=12,8,2,0.9949999999999999,0.010000000000000009,0.985,0.020000000000000018,0.9949999999999999,0.010000000000000009
autoreg_k=5_shannon_encoding,13,2,0.5349999999999999,0.06999999999999999,0.9800000000000001,0.010000000000000009,0.9949999999999999,0.010000000000000009
autoreg_k=5_autoencoder_fourier_transform=True,21,2,0.8,0.09082951062292473,0.9800000000000001,0.010000000000000009,0.9949999999999999,0.010000000000000009
multifracs_j1=1_j2=12_shannon_encoding,11,2,0.5349999999999999,0.06999999999999999,0.9949999999999999,0.010000000000000009,0.9949999999999999,0.010000000000000009
multifracs_j1=1_j2=12_autoencoder_fourier_transform=True,19,2,0.9349999999999999,0.0254950975679639,0.975,0.022360679774997918,0.9650000000000001,0.02549509756796391
shannon_encoding_autoencoder_fourier_transform=True,24,2,0.5349999999999999,0.06999999999999999,0.9800000000000001,0.018708286933869722,0.9949999999999999,0.010000000000000009
crosscor_mean_std,12,3,0.51,0.05147815070493499,0.505,0.07968688725254612,0.6050000000000001,0.059999999999999984
