Transformation (shape),shape,nb_trans,SVM accuracy,SVM std,DecisionTree accuracy,DecisionTree std,RandomForest accuracy,RandomForest std
crosscor,10,1,0.64,0.06442049363362566,0.595,0.0620483682299543,0.6849999999999999,0.07842193570679064
mean,1,1,0.45999999999999996,0.08000000000000002,0.5399999999999999,0.051478150704935,0.5399999999999999,0.051478150704935
std,1,1,0.6849999999999999,0.04898979485566356,0.585,0.09565563234854493,0.585,0.09565563234854493
autoreg_k=5,5,1,0.9949999999999999,0.010000000000000009,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
multifracs_j1=1_j2=12,3,1,0.9949999999999999,0.010000000000000009,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
shannon_encoding,8,1,0.525,0.06123724356957944,0.9800000000000001,0.029154759474226483,0.9949999999999999,0.010000000000000009
autoencoder_fourier_transform=True,16,1,0.74,0.04636809247747853,0.875,0.03535533905932741,0.89,0.037416573867739444
crosscor_mean,11,2,0.6450000000000001,0.06000000000000001,0.605,0.057879184513951125,0.7200000000000001,0.08860022573334676
crosscor_std,11,2,0.6450000000000001,0.06000000000000001,0.715,0.07516648189186455,0.8549999999999999,0.045825756949558406
crosscor_autoreg_k=5,15,2,0.6849999999999999,0.06442049363362565,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_multifracs_j1=1_j2=12,13,2,0.8049999999999999,0.024494897427831765,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_shannon_encoding,18,2,0.525,0.06123724356957944,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_autoencoder_fourier_transform=True,26,2,0.7249999999999999,0.035355339059327376,0.85,0.01581138830084191,0.89,0.02999999999999998
mean_std,2,2,0.635,0.066332495807108,0.605,0.062048368229954305,0.695,0.05338539126015656
mean_autoreg_k=5,6,2,0.9949999999999999,0.010000000000000009,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
mean_multifracs_j1=1_j2=12,4,2,0.9949999999999999,0.010000000000000009,0.9949999999999999,0.010000000000000009,0.9949999999999999,0.010000000000000009
mean_shannon_encoding,9,2,0.525,0.06123724356957944,0.985,0.020000000000000018,0.9949999999999999,0.010000000000000009
mean_autoencoder_fourier_transform=True,17,2,0.74,0.04636809247747853,0.9049999999999999,0.03674234614174768,0.8949999999999999,0.02915475947422653
std_autoreg_k=5,6,2,0.9949999999999999,0.010000000000000009,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
std_multifracs_j1=1_j2=12,4,2,0.9949999999999999,0.010000000000000009,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
std_shannon_encoding,9,2,0.525,0.06123724356957944,0.985,0.020000000000000018,0.9949999999999999,0.010000000000000009
std_autoencoder_fourier_transform=True,17,2,0.74,0.04636809247747853,0.85,0.044721359549995794,0.8949999999999999,0.02915475947422653
autoreg_k=5_multifracs_j1=1_j2=12,8,2,0.9949999999999999,0.010000000000000009,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
autoreg_k=5_shannon_encoding,13,2,0.525,0.06123724356957944,0.9949999999999999,0.010000000000000009,0.9949999999999999,0.010000000000000009
autoreg_k=5_autoencoder_fourier_transform=True,21,2,0.74,0.04636809247747853,0.99,0.012247448713915901,0.99,0.012247448713915901
multifracs_j1=1_j2=12_shannon_encoding,11,2,0.525,0.06123724356957944,0.9800000000000001,0.029154759474226483,0.9949999999999999,0.010000000000000009
multifracs_j1=1_j2=12_autoencoder_fourier_transform=True,19,2,0.74,0.04636809247747853,0.99,0.012247448713915901,0.97,0.039999999999999994
shannon_encoding_autoencoder_fourier_transform=True,24,2,0.525,0.06123724356957944,0.99,0.012247448713915901,0.99,0.012247448713915901
crosscor_mean_std,12,3,0.65,0.0570087712549569,0.71,0.051478150704935006,0.8550000000000001,0.040000000000000036
crosscor_mean_autoreg_k=5,16,3,0.6849999999999999,0.06244997998398399,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_mean_multifracs_j1=1_j2=12,14,3,0.8049999999999999,0.03674234614174766,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_mean_shannon_encoding,19,3,0.525,0.06123724356957944,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_mean_autoencoder_fourier_transform=True,27,3,0.7249999999999999,0.035355339059327376,0.875,0.03872983346207416,0.8950000000000001,0.029154759474226483
crosscor_std_autoreg_k=5,16,3,0.6849999999999999,0.06442049363362565,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_std_multifracs_j1=1_j2=12,14,3,0.82,0.029154759474226483,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_std_shannon_encoding,19,3,0.525,0.06123724356957944,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_std_autoencoder_fourier_transform=True,27,3,0.7249999999999999,0.035355339059327376,0.86,0.04636809247747852,0.9099999999999999,0.03741657386773941
crosscor_autoreg_k=5_multifracs_j1=1_j2=12,18,3,0.845,0.018708286933869726,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_autoreg_k=5_shannon_encoding,23,3,0.525,0.06123724356957944,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_autoreg_k=5_autoencoder_fourier_transform=True,31,3,0.7249999999999999,0.035355339059327376,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_multifracs_j1=1_j2=12_shannon_encoding,21,3,0.525,0.06123724356957944,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_multifracs_j1=1_j2=12_autoencoder_fourier_transform=True,29,3,0.7249999999999999,0.035355339059327376,0.99,0.012247448713915901,0.975,0.02738612787525829
crosscor_shannon_encoding_autoencoder_fourier_transform=True,34,3,0.525,0.06123724356957944,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
mean_std_autoreg_k=5,7,3,0.9949999999999999,0.010000000000000009,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
mean_std_multifracs_j1=1_j2=12,5,3,0.9949999999999999,0.010000000000000009,0.9949999999999999,0.010000000000000009,0.9949999999999999,0.010000000000000009
mean_std_shannon_encoding,10,3,0.525,0.06123724356957944,0.9949999999999999,0.010000000000000009,0.9949999999999999,0.010000000000000009
mean_std_autoencoder_fourier_transform=True,18,3,0.74,0.04636809247747853,0.89,0.046368092477478515,0.9,0.031622776601683784
mean_autoreg_k=5_multifracs_j1=1_j2=12,9,3,0.9949999999999999,0.010000000000000009,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
mean_autoreg_k=5_shannon_encoding,14,3,0.525,0.06123724356957944,0.9949999999999999,0.010000000000000009,0.9949999999999999,0.010000000000000009
mean_autoreg_k=5_autoencoder_fourier_transform=True,22,3,0.74,0.04636809247747853,0.985,0.020000000000000018,0.99,0.012247448713915901
mean_multifracs_j1=1_j2=12_shannon_encoding,12,3,0.525,0.06123724356957944,0.9800000000000001,0.029154759474226483,0.9949999999999999,0.010000000000000009
mean_multifracs_j1=1_j2=12_autoencoder_fourier_transform=True,20,3,0.74,0.04636809247747853,0.99,0.012247448713915901,0.9800000000000001,0.018708286933869722
mean_shannon_encoding_autoencoder_fourier_transform=True,25,3,0.525,0.06123724356957944,0.99,0.012247448713915901,0.99,0.012247448713915901
std_autoreg_k=5_multifracs_j1=1_j2=12,9,3,0.9949999999999999,0.010000000000000009,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
std_autoreg_k=5_shannon_encoding,14,3,0.525,0.06123724356957944,0.9949999999999999,0.010000000000000009,0.9949999999999999,0.010000000000000009
std_autoreg_k=5_autoencoder_fourier_transform=True,22,3,0.74,0.04636809247747853,0.985,0.020000000000000018,0.985,0.020000000000000018
std_multifracs_j1=1_j2=12_shannon_encoding,12,3,0.525,0.06123724356957944,0.9949999999999999,0.010000000000000009,0.9949999999999999,0.010000000000000009
std_multifracs_j1=1_j2=12_autoencoder_fourier_transform=True,20,3,0.74,0.04636809247747853,0.985,0.020000000000000018,0.975,0.02738612787525829
std_shannon_encoding_autoencoder_fourier_transform=True,25,3,0.525,0.06123724356957944,0.985,0.020000000000000018,0.99,0.012247448713915901
autoreg_k=5_multifracs_j1=1_j2=12_shannon_encoding,16,3,0.525,0.06123724356957944,0.985,0.020000000000000018,0.9949999999999999,0.010000000000000009
autoreg_k=5_multifracs_j1=1_j2=12_autoencoder_fourier_transform=True,24,3,0.74,0.04636809247747853,0.985,0.020000000000000018,0.99,0.012247448713915901
autoreg_k=5_shannon_encoding_autoencoder_fourier_transform=True,29,3,0.525,0.06123724356957944,0.985,0.020000000000000018,0.99,0.012247448713915901
multifracs_j1=1_j2=12_shannon_encoding_autoencoder_fourier_transform=True,27,3,0.525,0.06123724356957944,0.985,0.020000000000000018,0.99,0.012247448713915901
crosscor_mean_std_autoreg_k=5,17,4,0.6900000000000001,0.06442049363362563,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_mean_std_multifracs_j1=1_j2=12,15,4,0.8200000000000001,0.033166247903553984,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_mean_std_shannon_encoding,20,4,0.525,0.06123724356957944,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_mean_std_autoencoder_fourier_transform=True,28,4,0.7249999999999999,0.035355339059327376,0.9,0.04183300132670378,0.905,0.03674234614174766
crosscor_mean_autoreg_k=5_multifracs_j1=1_j2=12,19,4,0.845,0.018708286933869726,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_mean_autoreg_k=5_shannon_encoding,24,4,0.525,0.06123724356957944,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_mean_autoreg_k=5_autoencoder_fourier_transform=True,32,4,0.7249999999999999,0.035355339059327376,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_mean_multifracs_j1=1_j2=12_shannon_encoding,22,4,0.525,0.06123724356957944,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_mean_multifracs_j1=1_j2=12_autoencoder_fourier_transform=True,30,4,0.7249999999999999,0.035355339059327376,0.99,0.012247448713915901,0.975,0.022360679774997918
