Transformation (shape),shape,nb_trans,SVM accuracy,SVM std,DecisionTree accuracy,DecisionTree std,RandomForest accuracy,RandomForest std
crosscor,10,1,0.09454545454545456,0.018719327529067274,0.11181818181818182,0.017627926754241192,0.14363636363636362,0.033103893556423875
std,1,1,0.23090909090909095,0.030748244591432296,0.22999999999999998,0.0272120537219923,0.22999999999999998,0.0272120537219923
identity,2048,1,0.15999999999999998,0.020000000000000007,0.2845454545454545,0.005454545454545449,0.3427272727272727,0.03516196291966129
waveletscattering,6400,1,0.9936363636363638,0.0036363636363636155,0.7036363636363636,0.028948515141982996,0.9345454545454546,0.01762792675424117
autoreg_k=5,5,1,0.8354545454545456,0.018044939310253808,0.7890909090909092,0.018317674254190792,0.8309090909090908,0.021397458719890575
multifracs_j1=1_j2=7,3,1,0.6336363636363636,0.034087878653186666,0.5599999999999999,0.03034239866959752,0.5954545454545455,0.040959564822068396
shannon_encoding,8,1,0.4981818181818182,0.02854603357837741,0.9718181818181819,0.010523488093445643,0.99,0.005300865358950292
autoencoder_fourier_transform=True,16,1,0.13999999999999999,0.014770978917519927,0.25,0.032269526089634265,0.29363636363636364,0.029541957835039857
crosscor_std,11,2,0.2409090909090909,0.04175885119220309,0.3227272727272727,0.032651427265578126,0.35000000000000003,0.0409595648220684
crosscor_identity,2058,2,0.1572727272727273,0.02124240262826895,0.2963636363636364,0.0362953905048675,0.33909090909090905,0.02256304299271065
crosscor_waveletscattering,6410,2,0.9936363636363638,0.0036363636363636155,0.7145454545454546,0.040594751930483806,0.940909090909091,0.01700753357624521
crosscor_autoreg_k=5,15,2,0.8090909090909092,0.017007533576245196,0.7927272727272727,0.023810547006743274,0.8309090909090908,0.025936986577612915
crosscor_multifracs_j1=1_j2=7,13,2,0.5981818181818183,0.035860150769665484,0.54,0.045581640497169715,0.6118181818181818,0.04269824933024501
crosscor_shannon_encoding,18,2,0.5218181818181818,0.03893202382793429,0.970909090909091,0.007925270806437595,0.9872727272727273,0.0072727272727272805
crosscor_autoencoder_fourier_transform=True,26,2,0.18636363636363634,0.023879864611933997,0.22636363636363638,0.02748402992332903,0.2863636363636363,0.03377122840183039
std_identity,2049,2,0.18363636363636365,0.010204520145747116,0.32818181818181813,0.025454545454545455,0.36090909090909096,0.04550905822103211
std_waveletscattering,6401,2,0.9936363636363638,0.0036363636363636155,0.7154545454545455,0.035975198068017036,0.9454545454545455,0.020530163255702227
std_autoreg_k=5,6,2,0.8572727272727272,0.016663911618021224,0.8181818181818181,0.023706190564373265,0.8663636363636364,0.008430562268632452
std_multifracs_j1=1_j2=7,4,2,0.6336363636363636,0.029820399030648603,0.5536363636363637,0.02561636873382793,0.6090909090909091,0.03803000120609434
std_shannon_encoding,9,2,0.5327272727272728,0.034305385934751305,0.9672727272727272,0.00970643477457395,0.9881818181818183,0.0068030134304980835
std_autoencoder_fourier_transform=True,17,2,0.2590909090909091,0.03867644979305937,0.31818181818181823,0.022081741457256585,0.3718181818181818,0.025936986577612918
identity_waveletscattering,8448,2,0.9927272727272728,0.0036363636363636155,0.71,0.014200453956193944,0.949090909090909,0.016614242620451893
identity_autoreg_k=5,2053,2,0.6709090909090909,0.037217253619015865,0.7881818181818183,0.03384456448906596,0.5081818181818182,0.028517067529742042
identity_multifracs_j1=1_j2=7,2051,2,0.4590909090909091,0.028747978728803456,0.5381818181818182,0.03260076559462017,0.39909090909090905,0.04410730716621165
identity_shannon_encoding,2056,2,0.37,0.01919882916540263,0.9618181818181817,0.010984587248722338,0.8018181818181818,0.015102952478032863
identity_autoencoder_fourier_transform=True,2064,2,0.1827272727272727,0.014770978917519932,0.2927272727272727,0.022563042992710655,0.3454545454545455,0.031883050757727606
waveletscattering_autoreg_k=5,6405,2,0.9936363636363638,0.0036363636363636155,0.8072727272727273,0.028546033578377417,0.9472727272727273,0.012060453783110554
waveletscattering_multifracs_j1=1_j2=7,6403,2,0.9936363636363638,0.0036363636363636155,0.7181818181818181,0.04784617224342098,0.9436363636363637,0.013666633071248087
waveletscattering_shannon_encoding,6408,2,0.9936363636363638,0.0036363636363636155,0.9418181818181818,0.016109131951517593,0.9763636363636363,0.009706434774573945
waveletscattering_autoencoder_fourier_transform=True,6416,2,0.9936363636363638,0.0036363636363636155,0.7081818181818182,0.026253689233079358,0.9563636363636363,0.007385489458759955
autoreg_k=5_multifracs_j1=1_j2=7,8,2,0.8645454545454546,0.01734434911667174,0.8299999999999998,0.014258533764871002,0.8800000000000001,0.012398346997259876
autoreg_k=5_shannon_encoding,13,2,0.949090909090909,0.01827250112931071,0.9745454545454546,0.0113545418152698,0.99,0.005300865358950292
autoreg_k=5_autoencoder_fourier_transform=True,21,2,0.840909090909091,0.01795310696193775,0.8027272727272727,0.02911930432372178,0.8163636363636364,0.019198829165402616
multifracs_j1=1_j2=7_shannon_encoding,11,2,0.8172727272727274,0.026875900907444506,0.9690909090909091,0.0053008653589502915,0.988181818181818,0.0068030134304980835
multifracs_j1=1_j2=7_autoencoder_fourier_transform=True,19,2,0.6372727272727272,0.03394209945926269,0.5536363636363636,0.0474472303661814,0.6090909090909091,0.041560470729681685
shannon_encoding_autoencoder_fourier_transform=True,24,2,0.5,0.029737140425083852,0.9745454545454546,0.010601730717900566,0.9881818181818183,0.00616575453011389
crosscor_std_identity,2059,3,0.17818181818181816,0.015048132142951686,0.3418181818181818,0.02718166615950192,0.3381818181818182,0.034449627857266206
crosscor_std_waveletscattering,6411,3,0.9936363636363638,0.0036363636363636155,0.7063636363636363,0.030909090909090907,0.9445454545454546,0.011991732689339025
crosscor_std_autoreg_k=5,16,3,0.8309090909090908,0.018497263590341654,0.8027272727272727,0.019412869549147806,0.8554545454545455,0.015320272314866096
crosscor_std_multifracs_j1=1_j2=7,14,3,0.5972727272727273,0.034329468342725815,0.5590909090909091,0.054012548281865275,0.6118181818181818,0.031570464280336955
crosscor_std_shannon_encoding,19,3,0.5327272727272727,0.05129722174423958,0.9736363636363636,0.0066804265712268615,0.9863636363636366,0.008624393618641032
crosscor_std_autoencoder_fourier_transform=True,27,3,0.27454545454545454,0.04658591991025075,0.3354545454545455,0.02158971288552348,0.34818181818181815,0.0377683237778927
crosscor_identity_waveletscattering,8458,3,0.9918181818181818,0.004453617714151235,0.7072727272727273,0.047984157165078735,0.9336363636363636,0.017627926754241206
crosscor_identity_autoreg_k=5,2063,3,0.6527272727272727,0.03408787865318667,0.7790909090909091,0.020849718074872223,0.5163636363636364,0.03444962785726622
crosscor_identity_multifracs_j1=1_j2=7,2061,3,0.43454545454545457,0.03221826390303519,0.5409090909090909,0.03579094488187187,0.39545454545454545,0.03425717032984867
crosscor_identity_shannon_encoding,2066,3,0.36272727272727273,0.019792310051888407,0.9636363636363636,0.010756508696544759,0.8218181818181819,0.029792672014861687
crosscor_identity_autoencoder_fourier_transform=True,2074,3,0.18363636363636365,0.016414063713879802,0.28727272727272724,0.02324856700462624,0.3472727272727273,0.04832739585455278
crosscor_waveletscattering_autoreg_k=5,6415,3,0.9936363636363638,0.0036363636363636155,0.8081818181818182,0.03232070697205667,0.9481818181818182,0.006803013430498077
crosscor_waveletscattering_multifracs_j1=1_j2=7,6413,3,0.9936363636363638,0.0036363636363636155,0.7163636363636364,0.04327501903786146,0.9427272727272727,0.024155145919248056
crosscor_waveletscattering_shannon_encoding,6418,3,0.9936363636363638,0.0036363636363636155,0.9400000000000001,0.02446113463104309,0.9800000000000001,0.006165754530113845
crosscor_waveletscattering_autoencoder_fourier_transform=True,6426,3,0.9936363636363638,0.0036363636363636155,0.72,0.034449627857266234,0.9400000000000001,0.018719327529067274
crosscor_autoreg_k=5_multifracs_j1=1_j2=7,18,3,0.8318181818181818,0.013787046261911918,0.8072727272727273,0.02499586742703187,0.8663636363636364,0.0220067607943822
crosscor_autoreg_k=5_shannon_encoding,23,3,0.9254545454545454,0.009791208740244521,0.9709090909090909,0.008430562268632452,0.989090909090909,0.005454545454545475
crosscor_autoreg_k=5_autoencoder_fourier_transform=True,31,3,0.8127272727272727,0.022342192231717285,0.7872727272727273,0.010523488093445678,0.8163636363636364,0.026441890131361785
crosscor_multifracs_j1=1_j2=7_shannon_encoding,21,3,0.7954545454545454,0.022268088570756146,0.9690909090909091,0.0072727272727272805,0.989090909090909,0.006165754530113897
crosscor_multifracs_j1=1_j2=7_autoencoder_fourier_transform=True,29,3,0.6,0.03602111410210718,0.5700000000000001,0.04412604036186036,0.5854545454545456,0.035837096989867305
