Transformation (shape),shape,nb_trans,SVM accuracy,SVM std,DecisionTree accuracy,DecisionTree std,RandomForest accuracy,RandomForest std
crosscor,10,1,0.08818181818181818,0.009791208740244556,0.12454545454545454,0.01641406371387981,0.13818181818181816,0.02466301812045552
std,1,1,0.2418181818181818,0.013298853489388899,0.26090909090909087,0.010204520145747124,0.26090909090909087,0.010204520145747124
identity,2048,1,0.14363636363636362,0.01983402202661039,0.3190909090909091,0.036972180741205014,0.35,0.035675303400633795
waveletscattering,6400,1,0.9854545454545456,0.0072727272727272805,0.7418181818181818,0.026410616447879887,0.9263636363636364,0.022342192231717302
autoreg_k=5,5,1,0.8536363636363637,0.013298853489388906,0.8118181818181818,0.027212053721992313,0.8472727272727273,0.023284088136119447
wavelet_leaders_j1=3_j2=7,2,1,0.16818181818181818,0.017007533576245192,0.12636363636363637,0.027484029923329042,0.15090909090909094,0.016109131951517596
multifracs_j1=4_j2=7,3,1,0.4909090909090909,0.026190655074341682,0.40909090909090906,0.013483997249264839,0.47272727272727266,0.013787046261911925
multifracs_j1=1_j2=7,3,1,0.6327272727272727,0.03232070697205669,0.5527272727272726,0.016910068397943897,0.5818181818181818,0.015481260332660354
newmultifracs_j1=2_j2=7,5,1,0.6054545454545455,0.029653648055091054,0.5436363636363637,0.022926400387124544,0.5954545454545455,0.018630819574472008
shannon_encoding,8,1,0.5063636363636365,0.028690425160108196,0.9809090909090908,0.009270944570168712,0.9936363636363638,0.003636363636363615
autoencoder_fourier_transform=True,16,1,0.14454545454545453,0.01686112453726492,0.23545454545454544,0.019582417480489105,0.23727272727272725,0.014200453956193923
crosscor_std,11,2,0.2490909090909091,0.02993105024209878,0.3336363636363636,0.01898237547074645,0.36636363636363634,0.02968150494057183
crosscor_identity,2058,2,0.14090909090909093,0.024562283792920542,0.2772727272727272,0.008624393618641025,0.3590909090909091,0.026814329461368403
crosscor_waveletscattering,6410,2,0.9854545454545456,0.0072727272727272805,0.7254545454545454,0.03170108322575036,0.9245454545454546,0.019198829165402623
crosscor_autoreg_k=5,15,2,0.8190909090909091,0.021007672742347883,0.7981818181818181,0.01739193315428089,0.8263636363636364,0.018719327529067284
crosscor_wavelet_leaders_j1=3_j2=7,12,2,0.1590909090909091,0.017007533576245196,0.14454545454545453,0.008813963377120601,0.22181818181818178,0.011991732689339011
crosscor_multifracs_j1=4_j2=7,13,2,0.47545454545454546,0.03504424594072071,0.41454545454545455,0.01477097891751993,0.48090909090909095,0.01979231005188841
crosscor_multifracs_j1=1_j2=7,13,2,0.610909090909091,0.029119304323721753,0.5536363636363636,0.019999999999999997,0.6027272727272728,0.022745447278539624
crosscor_newmultifracs_j1=2_j2=7,15,2,0.5745454545454546,0.03597519806801704,0.5427272727272727,0.02883409368573403,0.5745454545454546,0.022563042992710655
crosscor_shannon_encoding,18,2,0.5290909090909091,0.019624575586293543,0.9790909090909091,0.008907235428302481,0.9918181818181818,0.0034015067152490534
crosscor_autoencoder_fourier_transform=True,26,2,0.16999999999999998,0.017391933154280906,0.24454545454545454,0.010523488093445658,0.2690909090909091,0.029792672014861712
std_identity,2049,2,0.1790909090909091,0.017860802458535007,0.34363636363636363,0.029820399030648575,0.3418181818181818,0.01661424262045187
std_waveletscattering,6401,2,0.9854545454545456,0.0072727272727272805,0.739090909090909,0.019834022026610405,0.9290909090909093,0.016414063713879826
std_autoreg_k=5,6,2,0.8536363636363635,0.01827250112931072,0.8372727272727273,0.027333266142496218,0.8636363636363636,0.022268088570756153
std_wavelet_leaders_j1=3_j2=7,3,2,0.33545454545454545,0.01610913195151758,0.3054545454545455,0.027181666159501912,0.34545454545454546,0.02555176240464581
std_multifracs_j1=4_j2=7,4,2,0.4927272727272727,0.02415514591924802,0.40909090909090906,0.01149919149152138,0.44909090909090904,0.016614242620451896
std_multifracs_j1=1_j2=7,4,2,0.6345454545454545,0.025809217393778866,0.5436363636363637,0.011712817024295587,0.5863636363636363,0.02439346884545226
std_newmultifracs_j1=2_j2=7,6,2,0.6045454545454546,0.026190655074341693,0.5454545454545455,0.016762808104168872,0.5918181818181819,0.022890324203662122
std_shannon_encoding,9,2,0.5318181818181819,0.02712078889122962,0.9818181818181818,0.005749595745760692,0.9927272727272728,0.0036363636363636155
std_autoencoder_fourier_transform=True,17,2,0.26272727272727275,0.018938787869090597,0.3154545454545455,0.012398346997259875,0.34363636363636363,0.019624575586293547
identity_waveletscattering,8448,2,0.9854545454545456,0.004453617714151235,0.7218181818181817,0.03193485103681872,0.9327272727272728,0.025454545454545438
identity_autoreg_k=5,2053,2,0.6663636363636364,0.041221032904562284,0.7936363636363637,0.024155145919248028,0.49727272727272726,0.02810840878861874
identity_wavelet_leaders_j1=3_j2=7,2050,2,0.15636363636363637,0.019198829165402616,0.3336363636363636,0.040716719411924895,0.35,0.037592860232973334
identity_multifracs_j1=4_j2=7,2051,2,0.3209090909090909,0.03444962785726622,0.4036363636363636,0.02100767274234789,0.37545454545454543,0.014826824027545543
identity_multifracs_j1=1_j2=7,2051,2,0.4490909090909091,0.027333266142496208,0.5318181818181819,0.02973714042508386,0.42272727272727273,0.01885131032120703
identity_newmultifracs_j1=2_j2=7,2053,2,0.45090909090909087,0.027931439083158583,0.5236363636363637,0.04325591728498297,0.4581818181818182,0.018719327529067277
identity_shannon_encoding,2056,2,0.34272727272727277,0.024663018120455526,0.9727272727272727,0.011853095282186652,0.82,0.03654500225862144
identity_autoencoder_fourier_transform=True,2064,2,0.1618181818181818,0.02200676079438219,0.3209090909090909,0.008430562268632452,0.36,0.03270201045200902
waveletscattering_autoreg_k=5,6405,2,0.9854545454545456,0.0072727272727272805,0.8172727272727272,0.03490246149173176,0.9318181818181819,0.019708621262435267
waveletscattering_wavelet_leaders_j1=3_j2=7,6402,2,0.9854545454545456,0.0072727272727272805,0.7363636363636363,0.03878314365036645,0.9327272727272728,0.03047828111680037
waveletscattering_multifracs_j1=4_j2=7,6403,2,0.9854545454545456,0.0072727272727272805,0.7418181818181818,0.01781447085660494,0.9327272727272726,0.003401506715249065
waveletscattering_multifracs_j1=1_j2=7,6403,2,0.9854545454545456,0.0072727272727272805,0.7463636363636363,0.022526384897025204,0.9363636363636363,0.017007533576245175
waveletscattering_newmultifracs_j1=2_j2=7,6405,2,0.9854545454545456,0.0072727272727272805,0.7336363636363636,0.023105936412979703,0.9363636363636363,0.0165144564768954
waveletscattering_shannon_encoding,6408,2,0.9863636363636366,0.005749595745760709,0.9636363636363636,0.009534625892455932,0.96,0.012662171161076463
waveletscattering_autoencoder_fourier_transform=True,6416,2,0.9863636363636366,0.005749595745760709,0.730909090909091,0.03640906253545595,0.9299999999999999,0.018541889140337373
autoreg_k=5_wavelet_leaders_j1=3_j2=7,7,2,0.8527272727272728,0.027212053721992275,0.8163636363636364,0.032853292726532105,0.8518181818181818,0.03432946834272582
autoreg_k=5_multifracs_j1=4_j2=7,8,2,0.8545454545454545,0.017007533576245196,0.8245454545454546,0.027514083546220997,0.8663636363636364,0.019624575586293574
autoreg_k=5_multifracs_j1=1_j2=7,8,2,0.8627272727272727,0.015048132142951672,0.8399999999999999,0.0297926720148617,0.8745454545454546,0.026597706978777818
autoreg_k=5_newmultifracs_j1=2_j2=7,10,2,0.850909090909091,0.02270908363053963,0.8254545454545456,0.025160640914723725,0.8709090909090909,0.022563042992710627
autoreg_k=5_shannon_encoding,13,2,0.9609090909090909,0.00979120874024456,0.9745454545454546,0.009791208740244545,0.9936363636363638,0.004635472285084358
autoreg_k=5_autoencoder_fourier_transform=True,21,2,0.8472727272727273,0.012727272727272717,0.8009090909090908,0.021007672742347903,0.8172727272727272,0.011281521496355309
